Unique_ID_state,Unique_ID,State,State_ID,Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
AK1,1,AK,1,accounting software for events,USD,,,,,
AK2,2,AK,1,analytics event api,USD,,,,,
AK3,3,AK,1,app event optimization,USD,,,,,
AK4,4,AK,1,app event website,USD,,,,,
AK5,5,AK,1,app marketing leader,USD,,,,,
AK6,6,AK,1,app marketing tools,USD,,,,,
AK7,7,AK,1,apps marketing analysis,USD,,,,,
AK8,8,AK,1,apps marketing and advertising,USD,,,,,
AK9,9,AK,1,attendee engagement,USD,0,,,,
AK10,10,AK,1,attendee engagement event,USD,,,,,
AK11,11,AK,1,attendee engagement ideas,USD,0,,,,
AK12,12,AK,1,attendee engagement report,USD,,,,,
AK13,13,AK,1,attendee engagement report teams live event,USD,,,,,
AK14,14,AK,1,attendee event registration,USD,,,,,
AK15,15,AK,1,attendee management,USD,,,,,
AK16,16,AK,1,attendee management software,USD,,,,,
AK17,17,AK,1,attendee management system,USD,,,,,
AK18,18,AK,1,attendee management tools,USD,,,,,
AK19,19,AK,1,attendee registration,USD,0,,,,
AK20,20,AK,1,attendee registration software,USD,,,,,
AK21,21,AK,1,automation event in usa,USD,,,,,
AK22,22,AK,1,best customer experience management software,USD,,,,,
AK23,23,AK,1,best event automation software,USD,,,,,
AK24,24,AK,1,best event booking software,USD,50,,,,
AK25,25,AK,1,best event experiences,USD,,,,,
AK26,26,AK,1,best event management platform,USD,,,,,
AK27,27,AK,1,best event management ticketing software,USD,,,,,
AK28,28,AK,1,best event production companies,USD,,,,,
AK29,29,AK,1,best event production companies atlanta,USD,,,,,
AK30,30,AK,1,best event production companies nyc,USD,,,,,
AK31,31,AK,1,best event registration software for small business,USD,,,,,
AK32,32,AK,1,best event ticketing platforms,USD,50,,,,
AK33,33,AK,1,best event ticketing sites,USD,,,,,
AK34,34,AK,1,best event ticketing software,USD,0,,,,
AK35,35,AK,1,best event ticketing system,USD,0,,,,
AK36,36,AK,1,best event ticketing system plugin for wordpress,USD,,,,,
AK37,37,AK,1,best experience management software,USD,,,,,
AK38,38,AK,1,best free event registration software,USD,,,,,
AK39,39,AK,1,best free event ticketing software,USD,,,,,
AK40,40,AK,1,best free online ticketing system,USD,,,,,
AK41,41,AK,1,best free ticket management system,USD,,,,,
AK42,42,AK,1,best free ticketing software,USD,0,,,,
